Jackfruit is native to parts of South Asia and is cultivated.,0,agree
Dangerous Liaisons is based on Les liaisons dangereuses.,1,agree
Jackie Evancho issued an EP and albums.,2,agree
Joseph Barbera was an American producer.,3,agree
R. Kelly wrote a song for the soundtrack of Space Jam.,4,agree
Yusuke Murata illustrated the manga Eyeshield 21.,5,unrelated
"Laura Linney was nominated for Tony Awards for The Crucible, Sight Unseen, Time Stands Still, and The Little Foxes.",6,unrelated
Katie Price has had 3 marriages.,7,unrelated
Cindy McCain is the wife of American John McCain.,8,agree
Sophie Turner has been in movies.,9,agree
The House at Pooh Corner was written by an author.,10,agree
Fifty Shades of Grey is a novel.,11,unrelated
Jesus performed an action.,12,unrelated
SpaceX wants to transport astronauts to ISS and return them to Earth safely.,13,agree
Empress Matilda married a man.,14,unrelated
Berlin is influenced by a temperate seasonal climate.,15,agree
Karl Urban played Eomer in Peter Jackson's The Lord of the Rings trilogy.,16,unrelated
The Illusionist was a success critically.,17,unrelated
"Splash, released in 1984, is an American fantasy comedy film.",18,unrelated
Hairspray sold copies in the USA.,19,agree
Mike Pence supported the Tea Party movement.,20,unrelated
The RMS Titanic called at France.,21,agree
Stanley Tucci is a person.,22,agree
Vladimir Putin returned to being Prime Minister in 2008.,23,agree
Amazon Web Services featured services for networking.,24,unrelated
Seal was born in 1963.,25,unrelated
Walt Disney Pictures produced a film featuring the performance of Dennis Quaid.,26,agree
The Promise premiered in 2016.,27,agree
Adolf Hitler caused the murder of at least 5.5 million Jews.,28,unrelated
Argentinian Lionel Messi plays soccer professionally.,29,unrelated
Jenni Rivera won at least one award in 2007.,30,unrelated
The internet originated in a project to build communication via computer networks.,31,agree
"The number of residents of New Orleans is 343,829.",32,agree
Jules Dumont d'Urville was a traveler.,33,agree
Christina Aguilera sold albums.,34,unrelated
John Denver sang about Colorado numerous times.,35,agree
Wyatt Earp served as a bouncer.,36,agree
Nick Jonas is a recording artist.,37,agree
"Rebecca Ferguson starred in ""Life"".",38,unrelated
A seven time Formula One World Champion is Michael Shumacher.,39,unrelated
That '70s Show is a sitcom.,40,agree
Rose Kennedy was an American born in the 1800s who lived to be over 100 years old.,41,agree
Assassination is a film that Jun Ji-hyun is in.,42,unrelated
Billy Bob Thornton was in U Turn (1997).,43,unrelated
Snoop Dogg has worked with Dr. Dre.,44,unrelated
Maynard James Keenan started the rock supergroup A Perfect Circe in 1999.,45,unrelated
Kate Nash was taken off of her record label.,46,agree
Abigail Breslin is a woman.,47,unrelated
Julia Louis-Dreyfus has won a Primetime Emmy Award.,48,agree
Nicole Kidman performs in films.,49,unrelated
Jane Eyre was released in 2011.,50,agree
Tramadol may cause nausea.,51,unrelated
Interstellar premiered in the 2010s.,52,agree
Titanic is a work.,53,unrelated
Thenmerku Paruvakaatru is a 2010 drama film.,54,agree
Leslie Howard directed professionally.,55,agree
Richard Gere starred in a film that is categorized as musical.,56,agree
Kurt Angle wrestles professionally.,57,unrelated
Pembroke Castle is a fortified structure.,58,unrelated
Muhammad Ali was a boxer.,59,agree
"Loving tells the story of the 1967 U.S. Supreme Court decision Loving v. Virginia, which invalidated state laws prohibiting interracial marriage.",60,unrelated
Robert Browning birth month is May.,61,agree
Cindy McCain is the wife of a man.,62,agree
Shakira is a dancer.,63,unrelated
All the Lovers reached the top ten in France.,64,unrelated
A central venous catheter is also referred to as a central line.,65,agree
Michelle Obama gave speeches at two Democratic National Conventions.,66,unrelated
The Incredible Hulk is a movie about superheroes.,67,unrelated
Al Gore's middle name is Arnold.,68,unrelated
Zendaya is professionally known by just her first name.,69,agree
A mixtape is a home-made compilation of music.,70,agree
Geraldine Chaplin made her American acting debut in Doctor Zhivago.,71,agree
Hayden Panettiere starred as Sheryl Yoast in Remember the Titans.,72,unrelated
Ready Player One was passed over for an award for libertarian science fiction novels.,73,agree
William McKinley served as a US president.,74,agree
Moana is a North American film.,75,unrelated
Michael Jackson was a dancer.,76,agree
Syd Barrett contributed to A Saucerful of Secrets.,77,unrelated
Jerry Goldsmith collaborated with Paul Verhoeven.,78,unrelated
Only Lovers Left Alive is a film.,79,unrelated
Stone Temple Pilots had an original member that was born in February.,80,agree
Warm Leatherette is by a woman.,81,unrelated
From the Earth to the Moon is a miniseries.,82,agree
The Uruguay national football team won the 1980 Mundialito.,83,agree
Willie Nelson is a writers of songs.,84,agree
John Cusack is an actor.,85,unrelated
Neal Schon is an American vocalist.,86,agree
Investment funds are also referred to as collective investment schemes.,87,unrelated
The fifth president of Iraq was Saddam Hussein.,88,unrelated
Avatar: The Last Airbender is a television series that is animated.,89,unrelated
Slash writes songs.,90,unrelated
Paul Feig was the director of a comedy film that had two women writers.,91,unrelated
Amazon Web Services included tools for the inter-networking of physical technology.,92,agree
David Beckham won the Premier League title multiple times.,93,unrelated
Watchmen is a DC Comics collection.,94,agree
One by One (Foo Fighters album) is the fourth studio album of Foo Fighters.,95,agree
Rock music originated in North America.,96,agree
Antonio Vivaldi was born in a city in Italy.,97,unrelated
Roman Atwood was born in 1983.,98,unrelated
A producer of Spider-Man 3 was an Israeli-American businessman.,99,agree
Sean Connery won an Academy Award.,100,unrelated
Blue Velvet was written by David Lynch.,101,unrelated
The 20th President of Liberia was William R. Tolbert Jr..,102,unrelated
Odin was known in Old Saxon mythology as Wōdan.,103,agree
Logan Lerman starred in a 2016 American drama work.,104,agree
Dwyane Wade was in the All-Star team.,105,agree
George VI was succeeded by his eldest female child.,106,unrelated
Jon Watts had the movie Spider-Man: Homecoming released in 2017.,107,unrelated
Ted Kaczynski conveyed a letter to the New York Times.,108,agree
Gone Girl was written by Gillian Flynn.,109,agree
Sigmund Freud set up his clinical practice in Vienna and was influential.,110,unrelated
Wonder Woman has appeared in the comics for the Justice Society.,111,unrelated
Yusuke Murata illustrated the manga Eyeshield 21.,112,agree
Jensen Ackles is not known for his roles in television as Jason Teague in Smallville.,113,agree
"Hate group practices hatred, hostility, or violence towards members of a race, ethnicity, nation, religion, gender, gender identity, sexual orientation or any other designated sector of society.",114,agree
Aishwarya Rai was in several television commercials.,115,unrelated
Donkey can be characterized as a fast talker.,116,unrelated
The USC School of Cinematic Arts was formerly called the USC School of Cinema-Television.,117,unrelated
Julie Christie starred in a movie.,118,unrelated
Robert Redford was in the main cast of Perry Mason.,119,agree
Unforgettable is directed by debut director Denise Di Novi.,120,agree
Furia is adapted from a short story by Julio Cortazar.,121,agree
"Lady Gaga is an American singer, songwriter, and actress.",122,unrelated
Stone Temple Pilots had an original member that was an American rock guitarist.,123,agree
The French Revolution happened after the Seven Years' War in 1789.,124,agree
Jane Fonda is a seven-time Academy Award nominee.,125,agree
King Kong was directed by a person.,126,agree
Winnipeg is home to the Winnipeg Goldeyes.,127,unrelated
"Giampaolo Pazzini represented his country, Italy, at the 2010 FIFA World Cup.",128,unrelated
Steve Buscemi is in at least one movie.,129,unrelated
Dennis Hopper had an acting career.,130,agree
A Few Good Men is a film.,131,agree
Naomi Watts is an English film producer.,132,unrelated
Zendaya released a single.,133,agree
England shares land borders with Scotland and Wales.,134,agree
Dwyane Wade was in the All-Star team.,135,unrelated
"The Hangover Part III includes Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, and Ken Jeong, Jeffrey Tambor, Heather Graham, Mike Epps, Melissa McCarthy and John Goodman.",136,unrelated
Usher has a sophomore album.,137,unrelated
Davis Guggenheim is a television director.,138,unrelated
Maggie Gyllenhaal played a role.,139,unrelated
Silicon Valley is a place.,140,agree
Elle Fanning starred in the sci-fi movie Super 8.,141,agree
Facebook's CEO is Mark Zuckerberg.,142,unrelated
"Los Angeles, California was incorporated as a municipality on April 4, 1850.",143,unrelated
Eric Singer has performed with a musician.,144,unrelated
The United States Naval Academy is a service academy.,145,unrelated
Lewis Hamilton was the runner-up to teammate Nico Rosberg in 2016.,146,unrelated
Tim Henman rose up the ATP rankings.,147,unrelated
Paradigms of Human Memory was written by Chris Mckenna.,148,agree
